idx,name,alt,width
633,MA2027.2,MYB44,9
634,MA2028.2,MYB49,11
635,MA2029.2,MYB88,9
636,MA2030.2,MYB96,11
637,MA2041.2,MYB13,10
638,MA2042.2,MYB58,9
639,MA0579.2,CDC5,9
640,MA1182.2,RVE8,9
641,MA1183.2,RVE6,9
642,MA1184.2,RVE1,9
643,MA1185.2,LHY,9
644,MA1186.2,YAB4,11
645,MA1187.2,RVE4,9
646,MA1189.2,AT5G61620,14
647,MA1190.2,RVE5,9
648,MA1191.2,RVE7L,9
649,MA1192.2,DIV1,11
650,MA1193.2,AT2G38090,13
651,MA1194.2,AT3G10580,14
652,MA1195.2,AT5G56840,14
653,MA1196.2,AT5G05790,14
654,MA1353.2,AT1G72740,11
655,MA1355.2,TRB2,11
656,MA1397.2,AT1G74840,9
657,MA1398.3,KUA1,8
658,MA1400.2,AT1G19000,13
659,MA1401.2,RVE7,9
660,MA1681.2,SRM1,9
661,MA1793.2,NID1,6
662,MA1802.2,TRP5,7
663,MA2031.2,AT5G04760,7
664,MA2032.2,TRB1,9
665,MA1207.2,GT-3a,14
666,MA1208.2,GT-2,11
667,MA1365.3,AT5G47660,7
668,MA1366.2,DF1,8
669,MA1367.2,AT1G76870,8
670,MA1368.3,GT-4,12
671,MA1661.2,GTL1,8
672,MA1662.2,AT3G10030,8
673,MA1733.2,ASR3,9
674,MA2039.2,ASIL2,9
675,MA2040.2,ENAP2,9
676,MA2345.1,OS02G0104500,6
677,MA2346.1,OsTCP7,6
678,MA2347.1,OS04G0486400,5
679,MA2349.1,OsCCA1,7
680,MA2350.1,OsFBH1,7
681,MA2351.1,OsEIL3,8
682,MA2401.1,Os05g0437700,8
683,MA2402.1,OsERF104,5
684,MA2404.1,OsTRBF3,7
685,MA2405.1,OsMSL08,6
686,MA2422.1,OsbZIP42,10
687,MA2423.1,OsbZIP69,12
688,MA2424.1,OsbZIP77,12
689,MA1430.2,TB1,9
690,MA1815.2,GRF4,8
691,MA1409.2,OsRR22,9
692,MA2362.1,TEIL,8
693,MA2377.1,cassava45561.m1,9
694,MA2361.1,PRUPE_ppa000682mg,6
695,MA2403.1,DVH24_040989,6
696,MA1095.1,ARALYDRAFT_495258,8
697,MA1096.1,ARALYDRAFT_496250,8
698,MA1097.1,ARALYDRAFT_493022,8
699,MA1098.1,ARALYDRAFT_484486,8
700,MA1054.2,ARALYDRAFT_897773,9
701,MA1416.1,RAMOSA1,14
702,MA2106.1,Zm00001d024644,8
703,MA2391.1,Lg3,7
704,MA2392.1,GRMZM2G135447,7
705,MA2408.1,BAD1,12
706,MA2409.1,ZmbZIP25,10
707,MA2410.1,ZmbZIP54,8
708,MA2411.1,ZmbZIP57,10
709,MA2412.1,ZmbZIP72,10
710,MA2413.1,ZmbZIP96,11
711,MA2414.1,EREB127,8
712,MA2415.1,EREB138,10
713,MA2416.1,EREB29,10
714,MA2417.1,EREB71,10
715,MA2418.1,IG1,9
716,MA2419.1,UB3,10
717,MA2420.1,SBP6,8
718,MA2421.1,SBP8,8
719,MA1817.2,Zm00001d020267,10
720,MA1819.2,Zm00001d005892,8
721,MA1820.2,Zm00001d024324,9
722,MA1821.2,Zm00001d020595,10
723,MA1831.2,Zm00001d031796,10
724,MA1832.2,Zm00001d002364,10
725,MA1833.2,Zm00001d049364,11
726,MA1685.2,ARF10,11
727,MA1688.2,ARF16,10
728,MA1689.2,ARF18,8
729,MA1690.2,ARF25,12
730,MA1691.2,ARF27,8
731,MA1692.2,ARF29,8
732,MA1693.2,ARF34,8
733,MA1694.2,ARF35,9
734,MA1695.2,ARF36,12
735,MA1696.2,ARF39,11
736,MA1697.2,ARF4,8
737,MA1698.2,ARF7,9
738,MA1816.2,O11,6
739,MA1834.2,Zm00001d034298,7
740,MA1828.2,Zm00001d038683,8
741,MA1822.2,Zm00001d018571,8
742,MA1417.2,O2,12
743,MA1835.2,TFLG2-Zm00001d042777,8
744,MA1824.2,Zm00001d005692,8
745,MA0020.2,Dof2,5
746,MA1823.2,Zm00001d027846,8
747,MA1827.2,Zm00001d044785,7
748,MA1830.2,Zm00001d015407,16
749,MA1829.2,Zm00001d035604,7
750,MA1825.2,Zm00001d044409,6
751,MA1050.1,OsI_08196,8
752,MA1032.2,DREB1G,8
753,MA0961.2,bHLH112,7
754,MA1031.2,OJ1581_H09.2,6
755,MA1030.2,P0510F09.23,7
756,MA0034.2,Gam1,8
757,MA2425.1,SPL11A,12
758,MA2426.1,SPL11B,15
759,MA2427.1,SPL12B,14
760,MA2428.1,SPL13B,13
761,MA2429.1,SPL13D,15
762,MA2430.1,SPL14B,13
763,MA2431.1,SPL15A,14
764,MA2432.1,SPL15B,7
765,MA2433.1,SPL15D,10
766,MA2434.1,SPL16A,11
767,MA2435.1,SPL16D,13
768,MA2436.1,SPL18A,14
769,MA2437.1,SPL19B,13
770,MA2438.1,SPL1D,14
771,MA2439.1,SPL2A,13
772,MA2440.1,SPL2B,13
773,MA2441.1,SPL3A,12
774,MA2442.1,SPL3B,14
775,MA2443.1,SPL3D,13
776,MA2444.1,SPL4A,13
777,MA2445.1,SPL4D,12
778,MA2446.1,SPL5A,13
779,MA2447.1,SPL5B,7
780,MA2448.1,SPL5D,14
781,MA2449.1,SPL6A,11
782,MA2450.1,SPL7A,11
783,MA2451.1,SPL7B,15
784,MA2452.1,SPL8A,9
785,MA2453.1,SPL8B,9
786,MA2454.1,SPL8D1,10
787,MA2455.1,SPL9D,14
788,MA1410.2,StBRC1,7
789,MA1405.2,SIZF2,9
790,MA1813.2,EIL4,9
791,MA1814.2,RIN,10
792,MA1812.2,ASR1,9
793,MA1408.2,FaEOBII,8
794,MA1411.2,TSAR1,8
795,MA1412.2,TSAR2,8
796,MA2399.1,LjSGA_053525.1,8
797,MA2400.1,LjTCP20,8
798,MA2105.1,GLYMA-13G317000,6
799,MA2390.1,GLYMA19G26560,8
800,MA1810.2,GLYMA-08G357600,9
801,MA1019.2,Glyma19g26560.1,8
802,MA1808.2,GLYMA-06G314400,8
803,MA1811.2,GLYMA-13G317000,8
804,MA1809.2,GLYMA-07G038400,7
