feature,region,top_count,top_rate,base_rate,fold_enrichment,odds_ratio,p,q
5142,exon,48,0.48,0.20001333422228149,2.3998399999999998,3.7357723577235773,2.7670099875998326e-10,2.6605865265383007e-09
5145,utr5,53,0.53,0.20001333422228149,2.6498233333333334,4.573392342735851,2.1622344323155772e-13,2.574088609899497e-12
5146,intergenic,38,0.38,0.20001333422228149,1.8998733333333333,2.4700289690923745,2.338330328443679e-05,0.00015451521994121225
5191,intergenic,47,0.47,0.20001333422228149,2.3498433333333333,3.587410308672345,1.0282523701764968e-09,9.579991026489102e-09
5219,intergenic,99,0.99,0.20001333422228149,4.94967,409.4457083764219,1.3884924906504865e-68,1.735615613313108e-66
5248,intergenic,41,0.41,0.20001333422228149,2.049863333333333,2.8040852097307267,1.1815944918513455e-06,8.645813355009845e-06
5284,intergenic,83,0.83,0.20001333422228149,4.149723333333333,20.054971868761218,6.70649726304964e-42,2.3394757894359208e-40
5333,utr5,78,0.78,0.20001333422228149,3.89974,14.532480866156432,8.766458301602993e-36,2.578370088706763e-34
5341,intergenic,40,0.4,0.20001333422228149,1.9998666666666667,2.688963963963964,3.3272795345338815e-06,2.3431546017844236e-05
5361,intergenic,69,0.69,0.20001333422228149,3.4497699999999996,9.088519826988477,2.657267134906852e-26,5.6941438605146825e-25
5363,exon,57,0.57,0.20001333422228149,2.8498099999999997,5.385202569755589,3.4601929528588233e-16,4.675936422782193e-15
5371,intergenic,60,0.6,0.20001333422228149,2.9998,6.101530612244898,1.8120180970436118e-18,2.6911159857083346e-17
5373,intergenic,58,0.58,0.20001333422228149,2.8998066666666666,5.612524683564792,6.258953644286107e-17,8.941362348980151e-16
5396,exon,31,0.31,0.20001333422228149,1.5498966666666667,1.8052728435378134,0.0059117402223325035,0.028697768069575257
5523,utr5,41,0.41,0.20001333422228149,2.049863333333333,2.8040852097307267,1.1815944918513455e-06,8.645813355009845e-06
5614,intergenic,28,0.28,0.20001333422228149,1.3999066666666669,1.5606587408404367,0.033703049557503015,0.14121389479400706
5617,intergenic,51,0.51,0.20001333422228149,2.54983,4.217617871156601,4.257444251316257e-12,4.561547412124561e-11
5642,intergenic,45,0.45,0.20001333422228149,2.24985,3.307060452238117,1.2616867994903968e-08,1.0876610340434454e-07
5659,intergenic,100,1.0,0.20001333422228149,4.999666666666666,inf,3.348863789917915e-71,8.372159474794789e-69
5714,intergenic,39,0.39,0.20001333422228149,1.94987,2.577673692427791,9.00044793125116e-06,6.081383737331864e-05
5718,intergenic,89,0.89,0.20001333422228149,4.449703333333334,33.319758908216485,2.8936771555630087e-50,1.607598419757227e-48
5743,intergenic,79,0.79,0.20001333422228149,3.949736666666667,15.426256500546128,5.930646326002224e-37,1.7791938978006671e-35
5983,intergenic,100,1.0,0.20001333422228149,4.999666666666666,inf,3.348863789917915e-71,8.372159474794789e-69
6016,intergenic,57,0.57,0.20001333422228149,2.8498099999999997,5.385202569755589,3.4601929528588233e-16,4.675936422782193e-15
6024,utr3,52,0.52,0.20001333422228149,2.599826666666667,4.391762777023971,9.786206764678622e-13,1.1037075298509724e-11
6049,utr5,32,0.32,0.20001333422228149,1.5998933333333334,1.8917076264468051,0.003039385658405801,0.015996766623188427
6083,intergenic,47,0.47,0.20001333422228149,2.3498433333333333,3.587410308672345,1.0282523701764968e-09,9.579991026489102e-09
6137,intergenic,55,0.55,0.20001333422228149,2.749816666666667,4.961101678928504,9.369934175613647e-15,1.1810841397832327e-13
6166,utr5,54,0.54,0.20001333422228149,2.6998200000000003,4.762994775524661,4.591602157658862e-14,5.645412488924831e-13
6240,intergenic,87,0.87,0.20001333422228149,4.34971,27.53656024716787,2.476888284496722e-47,1.1610413833578385e-45
6370,utr5,25,0.25,0.20001333422228149,1.2499166666666666,1.3360224089635855,0.13065579178658546,0.47339054995139657
6386,utr3,67,0.67,0.20001333422228149,3.349776666666667,8.28319333808594,1.9895116446324997e-24,3.875672034998376e-23
6418,utr3,35,0.35,0.20001333422228149,1.7498833333333332,2.167284991568297,0.00032110327098273,0.0018741436049575682
6550,intergenic,72,0.72,0.20001333422228149,3.59976,10.51317330210773,2.8902888634936843e-29,6.56883832612201e-28
6636,exon,37,0.37,0.20001333422228149,1.8498766666666666,2.3658561410839507,5.8333667219193604e-05,0.00037076483402029834
6710,utr5,40,0.4,0.20001333422228149,1.9998666666666667,2.688963963963964,3.3272795345338815e-06,2.3431546017844236e-05
6858,utr5,40,0.4,0.20001333422228149,1.9998666666666667,2.688963963963964,3.3272795345338815e-06,2.3431546017844236e-05
6964,intergenic,64,0.64,0.20001333422228149,3.199786666666667,7.24371783227369,9.219087102227432e-22,1.6079803085280405e-20
6977,exon,29,0.29,0.20001333422228149,1.4499033333333333,1.6398519017165938,0.019689946498057824,0.08585732484618237
6980,exon,27,0.27,0.20001333422228149,1.3499100000000002,1.4836819042616425,0.05526588146162675,0.21758221047884546
7061,exon,35,0.35,0.20001333422228149,1.7498833333333332,2.167284991568297,0.00032110327098273,0.0018741436049575682
7063,intergenic,64,0.64,0.20001333422228149,3.199786666666667,7.24371783227369,9.219087102227432e-22,1.6079803085280405e-20
7064,intergenic,77,0.77,0.20001333422228149,3.8497433333333335,13.716580642282349,1.2234294175285755e-34,3.336625684168842e-33
7065,utr5,60,0.6,0.20001333422228149,2.9998,6.101530612244898,1.8120180970436118e-18,2.6911159857083346e-17
7108,exon,33,0.33,0.20001333422228149,1.64989,1.9807735840514313,0.0014981448039075728,0.008231564856635015
7140,intergenic,43,0.43,0.20001333422228149,2.1498566666666665,3.046627390254466,1.3218829124794374e-07,1.0491134226027281e-06
7200,intergenic,93,0.93,0.20001333422228149,4.6496900000000005,54.80642783429161,1.1204457740000524e-56,7.002786087500327e-55
7213,intergenic,30,0.3,0.20001333422228149,1.4999,1.7213564213564214,0.011021326025011728,0.05055654139913637
7235,utr5,61,0.61,0.20001333422228149,3.0497966666666665,6.364976749461268,2.8983075861631403e-19,4.576275136047063e-18
